Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
ATA02;109198;10100;393558.91;6999627.18;10;0;0;6;1 - Celesc;
ATA02;109199;7172;394399.5;6999679.46;10;3.4;0;6;1 - Celesc;
ATA02;109200;8972;394548.38;7000132.87;45;23.8;0;21;1 - Celesc;
ATA02;109201;8973;394936.38;7000822.6;30;14.6;0;21;1 - Celesc;
ATA02;109202;8974;395445.68;7001257.22;30;3.7;0;21;1 - Celesc;
ATA02;109203;8975;394626.3;7001800.3;30;3.7;0;21;1 - Celesc;
ATA02;109204;8976;394518.16;7002005.91;15;0.4;0;6;1 - Celesc;
ATA02;109205;8977;393899.36;7002316.26;15;4.4;0;6;1 - Celesc;
ATA02;109206;8978;394264.22;7002920.03;37.5;3.9;0;6;1 - Celesc;
ATA02;109207;9628;394058.86;7002900.93;15;0.2;0;6;1 - Celesc;
ATA02;109208;9736;393743.35;7002590.48;25;3.6;9200;6;1 - Celesc;
ATA02;109209;8979;393968.67;7003294.4;10;0.8;0;6;1 - Celesc;
ATA02;109210;8983;392708.23;7003237.17;15;5.6;0;6;1 - Celesc;
ATA02;109211;8984;392733.12;7002666.04;10;5.4;0;6;1 - Celesc;
ATA02;109212;8981;394162.75;7003964.08;45;11.2;36000;21;1 - Celesc;
ATA02;109213;8602;394833.82;7008664.62;25;7.4;0;6;1 - Celesc;
ATA02;109214;8604;395745.1;7007834.56;15;2.8;0;6;1 - Celesc;
ATA02;109215;8603;395397.04;7008189;15;0.6;0;6;1 - Celesc;
ATA02;109216;8605;397026.19;7007334.35;25;1.9;0;6;1 - Celesc;
ATA02;109217;9488;397350.13;7007158.26;15;3.8;0;6;1 - Celesc;
ATA02;109218;8606;397959.57;7007066.75;15;5.9;10000;7;1 - Celesc;
ATA02;109219;8607;397871.62;7006735.18;5;0.5;0;6;1 - Celesc;
ATA02;109220;8610;397288.61;7007653.77;15;0.8;0;6;1 - Celesc;
ATA02;109221;8611;397162.92;7008148.19;10;3.3;0;6;1 - Celesc;
ATA02;109222;8612;396609.06;7008252.79;15;4.7;0;6;1 - Celesc;
ATA02;109223;8613;396757.82;7008999.38;10;5.5;0;6;1 - Celesc;
ATA02;109227;8631;395486.21;7013857.65;30;4.4;0;21;1 - Celesc;
ATA02;109224;11459;395176.58;7012736.78;10;0.9;0;6;1 - Celesc;
ATA02;109225;8630;396362.84;7014638.24;10;2.6;0;6;1 - Celesc;
ATA02;109226;9420;395554.86;7014183.86;15;0.4;0;6;1 - Celesc;
ATA02;109228;10143;394840.83;7014833.91;10;1.3;0;6;1 - Celesc;
ATA02;109229;8632;395002.47;7014256.16;10;0.1;0;6;1 - Celesc;
ATA02;109230;10223;393726.62;7014276.33;10;0.3;0;6;1 - Celesc;
ATA02;109231;8805;390915.15;7004084.75;30;7.6;0;22;1 - Celesc;
ATA02;109232;7084;391317.6;7004307.73;10;5.2;0;6;1 - Celesc;
ATA02;109269;11877;395178.93;7017325.42;25;1.6;5000;6;1 - Celesc;
ATA02;109271;10981;394422.61;7017451.03;25;3.1;16000;6;1 - Celesc;
ATA02;109272;10979;394009.405492538;7017255.15637291;10;0;0;6;1 - Celesc;
ATA02;109274;10977;392683.2;7017593.2;10;3;0;6;1 - Celesc;
ATA02;109276;10971;392091.28;7016170.15;10;1.2;0;6;1 - Celesc;
ATA02;109277;10972;391426.15;7016119.28;10;0.6;0;6;1 - Celesc;
ATA02;109278;11743;391497.01;7015469.87;10;1.2;0;6;1 - Celesc;
ATA02;109279;10973;392780.41;7015810.88;15;5.6;0;6;1 - Celesc;
ATA02;109280;12172;393282.3;7015787.96;10;0.9;0;6;1 - Celesc;
ATA02;109281;10974;393681.458885676;7015220.49181266;10;0.3;0; ;1 - Celesc;
ATA02;108794;7111;390687.78;7008377.41;15;2.5;0;6;1 - Celesc;
ATA02;108791;7929;390850.95;7009390.08;25;3.1;0;6;1 - Celesc;
ATA02;108792;7112;390724.32;7009105.49;10;3.3;0;6;1 - Celesc;
ATA02;108793;6844;391332.4;7008547.87;50;0.4;42000;6;1 - Celesc;
ATA02;108795;7578;390973.54;7008043.27;15;3.8;0;6;1 - Celesc;
ATA02;108796;7940;390084.81;7007244.63;10;2.4;0;6;1 - Celesc;
ATA02;108807;7103;390646.11;7004580.71;15;1.2;0;6;1 - Celesc;
ATA02;108808;7104;390127.12;7004509.05;10;2;0;6;1 - Celesc;
ATA02;108825;7818;391336.78;7006975.49;45;10.1;0;21;1 - Celesc;
ATA02;108832;11738;390751.25;7006907.55;10;0.1;0;6;1 - Celesc;
ATA02;108829;9310;391489.45;7006514.44;10;1.2;0;6;1 - Celesc;
ATA02;108830;7109;391412.05;7006116.04;15;0.1;0;6;1 - Celesc;
ATA02;108831;7108;390799.06;7006241.14;10;3.2;0;6;1 - Celesc;
ATA02;108833;7107;390685.97;7005840.65;25;2.4;20000;6;1 - Celesc;
ATA02;108834;7106;391454.43;7005243.55;10;4;0;6;1 - Celesc;
ATA02;109008;8617;396022.75;7009205.31;10;0.4;0;6;1 - Celesc;
ATA02;109000;9192;390613.49;7003820.1;10;3.9;3500;6;1 - Celesc;
ATA02;109006;8614;395315.67;7009015.9;5;0;0;6;1 - Celesc;
ATA02;109007;8616;395917.16;7008195.12;10;0;0;6;1 - Celesc;
ATA02;109009;8618;396231.63;7009725.91;10;2;0;6;1 - Celesc;
ATA02;109010;8633;397368.28;7009671.12;30;3.6;8560;21;1 - Celesc;
ATA02;109011;8641;397348.51;7009179.02;15;4.1;0;6;1 - Celesc;
